Country,Year2017,Year2018,Year2019,Year2020,Year2021,Year2022,POP2017,POP2018,POP2019,POP2020,POP2021,POP2022,Year,USAGDP,WorldGDP,Year(Date),Country(MostAffected),2019GDP,2020GDP,Country(LeastAffected),LA2020GDP
Afghanistan,2.6,1.2,3.9,-2.4,,,36296111,37171922,38041757,38928346,39835428,"34,161,000",2017,2.3,10826,2017,Macao SAR,-2.5,-54,43.5,Guyana
Albania,3.8,4,2.1,-3.5,8.5,4,423769930,435229381,446911598,458803476,470898870,"2,806,000",2018,2.9,11366,2018,Maldives,6.9,-33.5,6.2,CÃ´te d'Ivoire
Algeria,1.4,1.2,1,-5.1,3.5,4.7,29816769,30809787,31825299,32866268,33933611,"45,502,000",2019,2.3,11407,2019,Libya,-11.2,-29.5,6.1,Ethiopia
Andorra,0.3,1.6,2,-11.2,8.9,6.6,2873457,2866376,2854191,2837849,2811666,"48,500",2020,-3.4,10936,2020,Lebanon,-6.9,-25.9,4.9,Guinea 
Angola,-0.2,-1.3,-0.7,-5.8,0.8,2.9,76997,77008,77146,77265,77354,"80,300",2021,5.7,12263,2021,Saint Lucia,4.8,-24.4,3.8,Benin
Antigua and Barbuda,3.1,6.9,4.9,-20.2,5.3,6,411942825,419851989,427870273,436080728,444517783,"33,013,000",2022,1.6,,,"Bahamas, The",1.9,-23.8,3.6,Niger
Argentina,2.8,-2.6,-2,-9.9,10.4,4,9487206,9630966,9770526,9890400,9991083,"101,000",,,,,,,,,
Armenia,7.5,5.2,7.6,-7.4,5.7,7,44044811,44494502,44938712,45376763,45808747,"46,235,000",,,,,,,,,
Aruba,5.5,5.3,0.6,-18.6,17.2,4,2944789,2951741,2957728,2963234,2968128,"2,964,000",,,,,,,,,
Australia,2.4,2.8,2,-2.1,4.9,3.8,24601860,24982688,25365745,25693267,25739256,"109,400",,,,,,,,,
Austria,2.3,2.5,1.5,-6.7,4.6,4.7,8797566,8840521,8879920,8916864,8956279,"25,801,000",,,,,,,,,
Azerbaijan,0.2,1.5,2.5,-4.2,5.6,3.7,24601860,24982688,25365745,25693267,25739256,"9,003,000",,,,,,,,,
"Bahamas, The",3.1,1.8,1.9,-23.8,13.7,8,8797566,8840521,8879920,8916864,8956279,"10,197,000",,,,,,,,,
Bahrain,4.3,2.1,2.2,-4.9,2.2,3.4,9854033,9939771,10024283,10093121,10145212,"397,900",,,,,,,,,
Bangladesh,6.6,7.3,7.9,3.4,6.9,7.2,10827010,11175379,11530577,11890781,12255429,"1,442,000",,,,,,,,,
Barbados,0.5,-0.6,-1.3,-13.7,0.7,10.5,11375158,11427054,11488980,11544241,11587882,"171,704,000",,,,,,,,,
Belarus,2.5,3.1,1.4,-0.7,2.3,-7,11175192,11485035,11801151,12123198,12451031,"271,600",,,,,,,,,
Belgium,1.6,1.8,2.1,-5.7,6.2,2.4,19193236,19751466,20321383,20903278,21497097,"9,274,000",,,,,,,,,
Belize,-1,0.3,4.5,-13.7,16.3,3.5,159685421,161376713,163046173,164689383,166303494,"11,535,000",,,,,,,,,
Benin,5.7,6.7,6.9,3.8,7.2,5.7,7075947,7025037,6975761,6934015,6899125,"441,500",,,,,,,,,
Bhutan,6.3,3.8,4.4,-2.3,-3.3,4,1494077,1569440,1641164,1701583,1748295,"13,024,000",,,,,,,,,
Bolivia,4.2,4.2,2.2,-8.7,6.1,3.8,381749,385635,389486,393248,396914,"63,800",,,,,,,,,
Bosnia and Herzegovina,3.2,3.7,2.8,-3.1,7.5,2.4,3351534,3323929,3300998,3280815,3263459,"763,400",,,,,,,,,
Botswana,4.1,4.2,3,-8.7,11.4,4.1,9458989,9438785,9419758,9379952,9340314,"12,006,000",,,,,,,,,
Brazil,1.3,1.8,1.2,-3.9,4.6,2.8,375775,383071,390351,397621,404915,"3,443,000",,,,,,,,,
Brunei Darussalam,1.3,0.1,3.9,1.1,-1.6,1.2,63873,63918,63911,63893,63867,"2,447,000",,,,,,,,,
Bulgaria,2.8,2.7,4,-4.4,4.2,3.9,11192853,11353140,11513102,11673029,11832936,"214,891,000",,,,,,,,,
Burkina Faso,6.2,6.7,5.7,1.9,6.9,3.6,207833825,209469320,211049519,212559409,213993441,"434,000",,,,,,,,,
Burundi,0.5,1.6,1.8,0.3,3.1,3.3,286229,286640,287021,287371,287708,"6,855,000",,,,,,,,,
Cabo Verde,3.7,14.6,5.7,-14.8,7,4,424481,428960,433296,437483,441532,"22,127,000",,,,,,,,,
Cambodia,7,7.5,7.1,-3.1,3,5.1,745563,754396,763094,771612,779900,"12,857,000",,,,,,,,,
Cameroon,3.5,4,3.4,0.5,3.6,3.8,2205076,2254067,2303703,2351625,2397240,"482,900",,,,,,,,,
Canada,3,2.8,1.9,-5.2,4.5,3.3,4596023,4666375,4745179,4829764,4919987,"16,271,000",,,,,,,,,
Central African Republic,4.5,3.8,3,1,1,1.5,36545236,37065084,37601230,38037204,38246108,"26,097,000",,,,,,,,,
Chad,-2.4,2.4,3.4,-2.2,-1.1,3.3,102740078,102538451,102398494,102172351,101669618,"37,424,000",,,,,,,,,
Chile,1.3,3.9,0.9,-6.1,11.7,2,8451840,8514329,8575280,8636561,8697723,"70,700",,,,,,,,,
"China, People's Republic of",6.9,6.8,6,2.2,8.1,3.2,168666,170496,172264,173859,175244,"5,455,000",,,,,,,,,
Colombia,1.4,2.6,3.2,-7,10.7,7.6,18470435,18729166,18952035,19116209,19212362,"17,963,000",,,,,,,,,
Comoros,4.2,3.6,1.8,-0.3,2.2,3,1396215000,1402760000,1407745000,1411100000,1412360000,"19,829,000",,,,,,,,,
"Congo, Dem. Rep. of the",3.7,5.8,4.4,1.7,6.2,6.1,24437475,25069226,25716554,26378275,27053629,"1,412,952,000",,,,,,,,,
"Congo, Republic of ",-4.4,-4.8,-0.4,-8.1,-0.6,4.3,24566070,25216261,25876387,26545864,27224262,"52,579,000",,,,,,,,,
Costa Rica,4.2,2.6,2.4,-4.1,7.8,3.8,81398765,84068092,86790568,89561404,92377986,"827,900",,,,,,,,,
Croatia,3.4,2.9,3.5,-8.1,10.2,5.9,5110701,5244363,5380504,5518092,5657017,"108,408,000",,,,,,,,,
Cyprus,5.9,5.7,5.3,-5,5.6,3.5,48909844,49661056,50339443,50882884,51265841,"5,956,000",,,,,,,,,
Czech Republic,5.2,3.2,3,-5.5,3.5,1.9,813890,832322,850891,869595,888456,"5,213,000",,,,,,,,,
CÃ´te d'Ivoire,7.4,6.9,6.2,2,7,5.5,537499,543764,549936,555988,561901,"27,832,000",,,,,,,,,
Denmark,2.8,2,1.5,-2,4.9,2.6,4949955,4999443,5047561,5094114,5139053,"4,008,000",,,,,,,,,
Djibouti,5.5,4.8,5.5,1.2,4.8,3.6,7314956,7358929,7401389,7442291,7481631,"11,164,000",,,,,,,,,
Dominica,-6.6,3.5,5.5,-16.6,4.8,6,11339255,11338146,11333484,11326616,11317498,"149,800",,,,,,,,,
Dominican Republic,4.7,7,5.1,-6.7,12.3,5.3,160175,159336,157441,154947,152369,"1,346,000",,,,,,,,,
Ecuador,2.4,1.3,0,-7.8,4.2,2.9,63382,64172,64948,65720,66498,"10,535,000",,,,,,,,,
Egypt,5.4,5,5.5,3.5,3.3,6.6,1179685,1189262,1198574,1207361,1215588,"5,893,000",,,,,,,,,
El Salvador,2.3,2.4,2.4,-8.2,10.3,2.6,10594438,10629928,10671870,10697858,10703446,"1,017,000",,,,,,,,,
Equatorial Guinea,-5.7,-6.2,-5.5,-4.2,-3.2,5.8,82657002,82905782,83092962,83160871,83129285,"64,700",,,,,,,,,
Eritrea,-10,13,3.8,-0.5,2.9,2.6,944100,958923,973557,988002,1002197,"10,622,000",,,,,,,,,
Estonia,5.8,3.8,3.7,-0.6,8,1,71460,71626,71808,71991,72172,"1,337,000",,,,,,,,,
Eswatini,2,2.4,2.7,-1.6,7.9,2.4,5764980,5793636,5814422,5831404,5856733,"18,041,000",,,,,,,,,
Ethiopia,10.2,7.7,9,6.1,6.3,3.8,10513111,10627147,10738957,10847904,10953714,"104,239,000",,,,,,,,,
Fiji,5.4,3.8,-0.6,-17,-5.1,12.5,41389174,42228415,43053054,43851043,44616626,"6,331,000",,,,,,,,,
Finland,3.2,1.1,1.2,-2.2,3,2.1,2077988679,2091698238,2103723076,2114009483,2122086315,"1,558,000",,,,,,,,,
France,2.4,1.8,1.9,-7.9,6.8,2.5,3206485623,3248413593,3290291029,3332103561,3373866849,"6,209,000",,,,,,,,,
Gabon,0.5,0.8,3.9,-1.9,1.5,2.7,2324120551,2338485387,2351127942,2361517682,2368622859,"1,328,000",,,,,,,,,
"Gambia, The",4.8,7.2,6.2,0.6,4.3,5,395257485,397406103,399386100,400895993,401828885,"1,134,000",,,,,,,,,
Georgia,4.8,4.8,5,-6.8,10.4,9,914608311,918031055,920807612,922976036,923753699,"107,089,000",,,,,,,,,
Germany,2.7,1,1.1,-3.7,2.6,1.5,16785356,17084359,17373657,17643060,17888474,"54,000",,,,,,,,,
Ghana,8.1,6.2,6.5,0.5,5.4,3.6,96442590,98423602,100388076,102334403,104258327,"895,700",,,,,,,,,
Greece,1.1,1.7,1.8,-9,8.3,5.2,341217243,341979171,342283354,342708355,342566541,"5,555,000",,,,,,,,,
Grenada,4.4,4.4,0.7,-13.8,5.6,3.6,56114,56186,56171,56023,56225,"65,823,000",,,,,,,,,
Guatemala,3.1,3.4,4,-1.8,8,3.4,15567419,15827690,16087418,16346950,16604026,"294,600",,,,,,,,,
Guinea,10.3,6.4,5.6,4.9,3.8,4.6,161851,162948,164281,165770,167295,"280,700",,,,,,,,,
Guinea-Bissau,4.8,3.8,4.5,1.5,5,3.8,767433,771363,775218,779007,782775,"2,301,000",,,,,,,,,
Guyana,3.7,4.4,5.4,43.5,23.8,57.8,1211083838,1217994923,1224138952,1229836619,1234830048,"2,785,000",,,,,,,,,
Haiti,2.5,1.7,-1.7,-3.3,-1.8,-1.2,7291300,7336600,7393200,7452600,7507900,"2,167,000",,,,,,,,,
Honduras,4.8,3.8,2.7,-9,12.5,3.4,9112904,9270794,9429016,9587523,9746115,"3,732,000",,,,,,,,,
Hong Kong SAR,3.8,2.8,-1.7,-6.5,6.3,-0.8,718128408,738387077,759106118,780234453,801708019,"83,200,000",,,,,,,,,
Hungary,4.3,5.4,4.6,-4.5,7.1,5.7,4203604,4174349,4124531,4087843,4065253,"31,486,000",,,,,,,,,
Iceland,4.2,4.9,2.4,-6.8,4.4,5.1,10695540,10839976,10982367,11123183,11263079,"10,619,000",,,,,,,,,
India,6.8,6.5,3.7,-6.6,8.7,6.8,9843028,9814023,9787966,9775564,9771141,"56,600",,,,,,,,,
Indonesia,5.1,5.2,5,-2.1,3.7,5.3,4657516187,4701907494,4746018766,4787343661,4826259460,"114,800",,,,,,,,,
Iran,2.8,-1.8,-3.1,3.3,4.7,3,6184735051,6263736146,6343292514,6420905201,6496952025,"371,600",,,,,,,,,
Iraq,-3.4,4.7,5.8,-15.7,7.7,9.3,1527218864,1561828652,1597273748,1633561540,1670692565,"166,200",,,,,,,,,
Ireland,9,8.5,5.4,6.2,13.6,9,512877239,524794580,536871945,549127807,561571929,"15,998,000",,,,,,,,,
Israel,4.3,4.1,4.2,-1.9,8.6,6.1,258383257,261556386,264650969,267670549,270625567,"63,900",,,,,,,,,
Italy,1.7,0.9,0.5,-9,6.7,3.2,1014341625,1037034072,1060401803,1084433733,1109120636,"13,269,000",,,,,,,,,
Jamaica,0.7,1.8,1,-10,4.6,2.8,83232,83296,83610,84073,84589,"1,644,000",,,,,,,,,
Japan,1.7,0.6,-0.4,-4.6,1.7,1.7,1310152392,1324517250,1338676779,1352642283,1366417756,"742,300",,,,,,,,,
Jordan,2.1,1.9,2,-1.6,2.2,2.4,9785840,9965322,10101697,10203140,10269022,"12,080,000",,,,,,,,,
Kazakhstan,3.9,4.1,4.5,-2.6,4.1,2.5,4701957,4755335,4807388,4867316,4934340,"9,596,000",,,,,,,,,
Kenya,3.8,5.7,5.1,-0.3,7.5,5.3,78492208,79563991,80673888,81800204,82913893,"7,428,000",,,,,,,,,
Kiribati,-0.2,5.3,-0.5,-0.5,1.5,1,35572269,36610632,37552789,38433604,39309789,"9,705,000",,,,,,,,,
"Korea, Republic of",3.2,2.9,2.2,-0.7,4.1,2.6,330815,335439,343400,352721,360563,"380,500",,,,,,,,,
Kosovo,4.8,3.4,4.8,-5.3,9.5,2.7,8380100,8546000,8713300,8882800,9054000,"1,357,181,000",,,,,,,,,
Kuwait,-4.7,2.4,-0.6,-8.9,1.3,8.7,60730582,60627498,60536709,60421760,59729081,"275,400,000",,,,,,,,,
Kyrgyz Republic,4.7,3.5,4.6,-8.6,3.7,3.8,2891024,2906242,2920848,2934853,2948277,"86,110,000",,,,,,,,,
Lao P.D.R.,6.9,6.3,4.7,-0.4,2.1,2.2,9266573,9554286,9785840,9965322,10101697,"42,281,000",,,,,,,,,
Latvia,3.3,4,2.5,-3.8,4.5,2.5,127141000,127076000,126972000,126811000,126633000,"5,054,000",,,,,,,,,
Lebanon,0.9,-1.9,-6.9,-25.9,,,17542806,17794055,18037776,18276452,18513673,"84,200",,,,,,,,,
Lesotho,-2.7,-0.3,0,-6,2.1,2.1,47878339,49051531,50221146,51392570,52573967,"8,866,000",,,,,,,,,
Liberia,2.5,1.2,-2.5,-3,5,3.7,5956900,6079500,6198200,6322800,6456200,"58,426,000",,,,,,,,,
Libya,32.5,7.9,-11.2,-29.5,28.3,-18.5,15521435,15766290,16009413,16249795,16486542,"2,744,000",,,,,,,,,
Lithuania,4.3,4,4.6,-0.1,5,1.8,110927,112529,114153,115842,117608,"125,816,000",,,,,,,,,
Luxembourg,1.3,2,3.3,-1.8,6.9,1.6,51204,51629,52036,52438,52834,"110,300",,,,,,,,,
Macao SAR,10,6.5,-2.5,-54,18,-22.4,51014947,51217803,51361911,51585058,51764822,"11,192,000",,,,,,,,,
Madagascar,3.9,3.2,4.4,-7.1,4.3,4.2,3835588,3956862,4056102,4137314,4207077,"19,261,000",,,,,,,,,
Malawi,4,4.4,5.4,0.9,2.2,0.9,560649920,566801404,573044918,579255220,585257302,"51,464,000",,,,,,,,,
Malaysia,5.8,4.8,4.4,-5.5,3.1,5.4,6741160,6845848,6953031,7061498,7169456,"122,700",,,,,,,,,
Maldives,7.2,8.1,6.9,-33.5,37,8.7,6532681,6714281,6819373,6859408,6855709,"25,991,000",,,,,,,,,
Mali,5.3,4.7,4.8,-1.2,3.1,2.5,4472229,4586788,4702224,4818976,4937374,"51,582,000",,,,,,,,,
Malta,10.9,6.2,5.9,-8.3,10.3,6.2,6418315,6492160,6580723,6678565,6777453,"1,822,000",,,,,,,,,
Marshall Islands,3.3,3.1,6.8,-1.6,1.7,1.5,179131,180028,180955,181890,182795,"4,467,000",,,,,,,,,
Mauritania,6.3,4.8,5.4,-0.9,2.4,4,622301041,628493594,634566052,640483827,646431661,"6,769,000",,,,,,,,,
Mauritius,3.8,3.8,3,-14.9,4,6.1,940860189,963241392,986099903,1009398577,1033088986,"7,529,000",,,,,,,,,
