Country,Year2017,Year2018,Year2019,Year2020,Year2021,Year2022,POP2017,POP2018,POP2019,POP2020,POP2021,POP2022,Year,USAGDP,WorldGDP,Year(Date),Country(MostAffected),2019GDP,2020GDP,Country(LeastAffected),LA2020GDP
Mexico,2.1,2.2,-0.2,-8.1,4.8,2.1,599964298,615653729,631818732,648498946,665731857,"1,873,000",,,,,,,,,
"Micronesia, Fed. States of",2.7,0.2,1.2,-1.8,-3.2,-0.6,37465,37655,37805,37918,38020,"6,685,000",,,,,,,,,
Moldova,4.2,4.1,3.6,-8.3,13.9,0,20970000,21203000,21444000,21670000,21803000,"2,084,000",,,,,,,,,
Mongolia,5.6,7.7,5.6,-4.6,1.6,2.5,3093861642,3139004988,3184107532,3229156489,3274021191,"5,059,000",,,,,,,,,
Montenegro,4.7,5.1,4.1,-15.3,13,7.2,6106513340,6185804647,6265829670,6343992496,6420460567,"7,362,000",,,,,,,,,
Morocco,5.1,3.1,2.9,-7.2,7.9,0.8,2059011,2075041,2091532,2108327,2125267,"39,500",,,,,,,,,
Mozambique,3.7,3.4,2.3,-1.2,2.3,3.7,2256036257,2270527108,2285348589,2297874675,2308520840,"2,790,000",,,,,,,,,
Myanmar,5.8,6.4,6.8,3.2,-17.9,2,2904910,2868231,2828403,2801543,2794137,"647,800",,,,,,,,,
Namibia,-1,1.1,-0.8,-8,2.7,3,569604,582014,596336,607950,620001,"687,900",,,,,,,,,
Nauru,-5.5,5.7,1,0.7,1.6,0.9,1977527,1959537,1942248,1927174,1913822,"29,022,000",,,,,,,,,
Nepal,9,7.6,6.7,-2.4,4.2,4.2,602093,612824,622578,631633,640446,"19,610,000",,,,,,,,,
Netherlands,2.9,2.4,2,-3.9,4.9,4.5,35865,36061,36569,37264,38002,"33,331,000",,,,,,,,,
New Zealand,3.5,3.4,2.9,-2.1,5.6,2.3,34663608,35126274,35581257,36029089,36471766,"606,800",,,,,,,,,
Nicaragua,4.6,-3.4,-3.8,-1.8,10.3,4,37723,38070,38392,38682,38967,"21,719,000",,,,,,,,,
Niger,5,7.2,5.9,3.6,1.3,6.7,2834530,2802170,2755158,2708214,2664974,"547,700",,,,,,,,,
Nigeria,0.8,1.9,2.2,-1.8,3.6,3.2,24234080,24894370,25570511,26262313,26969306,"55,300",,,,,,,,,
North Macedonia ,1.1,2.9,3.9,-6.1,4,2.7,454914,475505,496398,515704,530957,"348,200",,,,,,,,,
Norway,2.3,1.1,0.7,-0.7,3.9,3.6,425821771,433616042,441298977,448974232,456709496,"4,371,000",,,,,,,,,
Oman,0.3,1.3,-1.1,-3.2,3,4.4,121858251,123333379,124777326,126190782,127575529,"1,263,000",,,,,,,,,
Pakistan,4.6,6.1,3.1,-0.9,5.7,6,57444,57723,58053,58412,58791,"304,700",,,,,,,,,
Palau,-3.4,0.1,0.4,-8.9,-13.4,-2.8,5506549042,5570150918,5634010938,5695493550,5754728710,"128,550,000",,,,,,,,,
Panama,5.6,3.7,3,-17.9,15.3,7.5,2070226,2072490,2074502,2076217,2076694,"105,000",,,,,,,,,
Papua New Guinea,3.5,-0.3,4.5,-3.5,1.2,3.8,17438772,17965448,18512429,19077755,19658023,"2,553,000",,,,,,,,,
Paraguay,4.8,3.2,-0.4,-0.8,4.2,0.2,445053,455356,467999,484630,504062,"38,400",,,,,,,,,
Peru,2.5,4,2.2,-11,13.6,2.7,52680724,53045199,53382521,53708318,54045422,"3,411,000",,,,,,,,,
Philippines,6.9,6.3,6.1,-9.5,5.7,6.5,363975556,370294017,376588457,382955167,389457075,"619,100",,,,,,,,,
Poland,4.8,5.4,4.7,-2.2,5.9,3.8,622159,622303,622373,622227,622028,"36,093,000",,,,,,,,,
Portugal,3.5,2.8,2.7,-8.4,4.9,6.2,2998433,3056358,3113788,3170214,3225166,"31,616,000",,,,,,,,,
Puerto Rico,-2.9,-4.2,1.5,-3.9,2.7,4.8,55779,56187,56553,56889,57213,"55,869,000",,,,,,,,,
Qatar,-1.5,1.2,0.7,-3.6,1.6,3.4,27042001,27829930,28649007,29496009,30366043,"2,596,000",,,,,,,,,
Romania,7.3,4.5,4.2,-3.7,5.9,4.8,4046304,4163532,4282582,4403312,4525698,"14,000",,,,,,,,,
Russian Federation,1.8,2.8,2.2,-2.7,4.7,-3.4,1262605,1263473,1264613,1265303,1265711,"30,752,000",,,,,,,,,
Rwanda,4,8.6,9.5,-3.4,10.9,6,16745305,17205253,17670193,18143215,18628749,"17,650,000",,,,,,,,,
Saint Kitts and Nevis,0.9,2.7,4.8,-14,-3.6,9.8,30270965,30684652,31104655,31528033,31949789,"272,900",,,,,,,,,
Saint Lucia,3.4,2.9,-0.7,-24.4,12.2,9.1,356507139,359245796,361731237,363967201,365995094,"5,134,000",,,,,,,,,
Saint Vincent and the Grenadines,1.7,3.1,0.4,-5.3,0.5,5,2314901,2358044,2402623,2448300,2494524,"6,734,000",,,,,,,,,
Samoa,1.4,-0.6,4.5,-3.1,-7.1,-5,268700,269350,270000,270650,271300,"23,437,000",,,,,,,,,
San Marino,0.3,1.5,2.1,-6.7,5.4,3.1,20001663,20788789,21602388,22442831,23310719,"217,376,000",,,,,,,,,
Saudi Arabia,-0.7,2.5,0.3,-4.1,3.2,7.6,181137454,185960244,190873247,195874685,200963603,"1,829,000",,,,,,,,,
Senegal,7.4,6.2,4.6,1.3,6.1,4.7,6223234,6303970,6384843,6465502,6545503,"46,000",,,,,,,,,
Serbia,2.1,4.5,4.3,-0.9,7.4,3.5,16939923,17030314,17131296,17231624,17344874,"5,443,000",,,,,,,,,
Seychelles,4.5,3.2,3.1,-7.7,7.9,10.9,5188607,5234519,5276968,5311916,5347896,"4,674,000",,,,,,,,,
Sierra Leone,3.8,3.5,5.3,-2,4.1,2.4,27015033,27263430,27632682,28095712,28608715,"235,409,000",,,,,,,,,
Singapore,4.7,3.7,1.1,-4.1,7.6,3,10374,10474,10577,10678,10764,"18,200",,,,,,,,,
Slovak Republic,3,3.8,2.6,-4.4,3,1.8,4609400,4714100,4813600,4900600,4979200,"4,404,000",,,,,,,,,
Slovenia,4.8,4.5,3.5,-4.3,8.2,5.7,1332787383,1341783391,1350234580,1358279647,1365274704,"9,312,000",,,,,,,,,
Solomon Islands,3.1,2.7,1.7,-3.4,-0.2,-4.5,4267341,4479217,4665926,4829476,4974992,"7,454,000",,,,,,,,,
Somalia,2.2,3.7,2.7,-0.3,2.9,1.9,28948893,29542903,30148954,30760469,31361216,"33,563,000",,,,,,,,,
South Africa,1.2,1.5,0.3,-6.3,4.9,2.1,199426953,203631356,207906210,212228288,216565317,"112,917,000",,,,,,,,,
"South Sudan, Republic of",-5.8,-2.1,0.9,-6.5,5.3,6.5,3968490,4037073,4106764,4176868,4246440,"38,138,000",,,,,,,,,
Spain,3,2.3,2.1,-10.8,5.1,4.3,30470739,30926036,31444299,31989265,32510462,"10,323,000",,,,,,,,,
Sri Lanka,6.5,2.3,-0.2,-3.5,3.3,-8.7,102113206,103663812,105172921,106651394,108116622,"3,194,000",,,,,,,,,
Sudan,0.8,-2.3,-2.5,-3.6,0.5,-0.3,17665,17718,17809,17911,18001,"3,059,000",,,,,,,,,
Suriname,1.6,4.9,1.1,-15.9,-3.5,1.3,8107772,8271766,8438038,8606324,8776119,"874,400",,,,,,,,,
Sweden,2.6,2,2,-2.2,5.1,2.6,37986412,37970087,37974826,37974750,37965475,"18,991,000",,,,,,,,,
Switzerland,1.4,2.9,1.2,-2.5,4.2,2.2,845759372,869943573,894512378,919485090,944902748,"143,377,000",,,,,,,,,
Syria,,,,,,,3473232,3406672,3325286,3193354,3193694,"13,256,000",,,,,,,,,
SÃ£o TomÃ© and PrÃ­ncipe,3.9,3,2.2,3,1.9,1.4,25183832,25307665,25429816,25549606,25666158,"48,200",,,,,,,,,
Taiwan Province of China,3.3,2.8,3.1,3.4,6.6,3.3,10358076,10325452,10300300,10283822,10286263,"183,800",,,,,,,,,
Tajikistan,7.1,7.6,7.4,4.4,9.2,5.5,6688746,6777878,6867058,6956069,7044639,"110,400",,,,,,,,,
Tanzania,6.8,7,7,4.8,4.9,4.5,4270092,4367088,4454805,4569087,4685306,"205,800",,,,,,,,,
Thailand,4.2,4.2,2.2,-6.2,1.5,2.8,2353578,2385744,2419767,2455336,2491878,"33,700",,,,,,,,,
Timor-Leste,-3.1,-0.7,2.1,-8.6,1.5,3.3,1096949064,1101915677,1106131866,1110012320,1113142897,"219,100",,,,,,,,,
Togo,4.3,5,5.5,1.8,5.3,5.4,273119,274576,276108,277673,279285,"36,687,000",,,,,,,,,
Tonga,3.3,0.2,0.7,0.5,-2.7,-2,2565708,2654379,2724727,2781682,2832071,"17,739,000",,,,,,,,,
Trinidad and Tobago,-2.7,-0.7,-0.2,-7.4,-0.7,4,19815616,19702267,19588715,19473970,19371648,"6,807,000",,,,,,,,,
Tunisia,2.2,2.5,1.4,-8.7,3.3,2.2,144096870,144342397,144496739,144477859,144406261,"100,100",,,,,,,,,
Turkmenistan,4.7,0.9,-3.4,-3,4.6,1.2,11369066,11668829,11980960,12301969,12626938,"8,494,000",,,,,,,,,
Tuvalu,3.4,1.6,13.9,1,2.5,3,1749417067,1771187426,1792883164,1814455018,1835776769,"5,230,000",,,,,,,,,
"TÃ¼rkiye, Republic of",7.5,3,0.8,1.9,11.4,5,31717676,32443443,33101183,33702757,34268529,"41,000",,,,,,,,,
Uganda,6.8,5.5,7.8,-1.4,6.7,4.4,38902948,39847433,40813398,41801532,42813237,"5,457,000",,,,,,,,,
Ukraine,2.4,3.5,3.2,-3.8,3.4,-35,14578450,14993514,15419354,15854324,16296362,"2,124,000",,,,,,,,,
United Arab Emirates,2.4,1.2,3.4,-4.8,3.8,5.1,5535002,5607283,5612253,5638676,5703569,"773,600",,,,,,,,,
United Kingdom,2.1,1.7,1.7,-9.3,7.4,3.6,603133,619438,636030,652856,669821,"14,650,000",,,,,,,,,
United States,2.3,2.9,2.3,-3.4,5.7,1.6,7171909,7328846,7488427,7650149,7813207,"60,970,000",,,,,,,,,
Uruguay,1.6,0.5,0.4,-6.1,4.4,5.3,6325121,6356137,6388124,6420740,6453550,"14,235,000",,,,,,,,,
Uzbekistan,4.4,5.4,5.7,1.9,7.4,5.2,33270,33503,33671,33784,33864,"47,323,000",,,,,,,,,
Vanuatu,6.3,2.9,3.2,-5.4,0.4,1.7,13797204,14185635,14589165,15008225,15442906,"22,152,000",,,,,,,,,
Venezuela,-15.7,-19.7,-27.7,-30,0.5,6,7095383,7058322,7020858,6982604,6945235,"45,168,000",,,,,,,,,
Vietnam,6.9,7.2,7.2,2.9,2.6,7,995365079,1022435568,1050066967,1078222750,1106860245,"621,900",,,,,,,,,
West Bank and Gaza,1.4,1.2,1.4,-11.3,7.1,4,10715657,10832520,10910774,10975924,11062114,"10,495,000",,,,,,,,,
Yemen,-5.1,0.8,1.4,-8.5,-1,2,995458498,1022530245,1050162810,1078319512,1106957870,"8,771,000",,,,,,,,,
Zambia,3.5,4,1.4,-2.8,4.6,2.9,38524668,39198032,39883677,40574734,41254483,"27,569,000",,,,,,,,,
Zimbabwe,5,4.7,-6.1,-5.2,7.2,3,199439,203221,207086,211032,215048,"23,196,000",,,,,,,,,
Africa (Region),4,3.4,2.9,-1.8,4.8,3.7,559136,564883,570501,575987,581363,"9,803,000",,,,,,,,,
Asia and Pacific,5.7,5.3,4.1,-0.9,6.6,4,5423801,5430798,5439232,5446771,5454147,"61,791,000",,,,,,,,,
Australia and New Zealand,2.5,2.9,2.1,-2.1,5,3.6,2063531,2065042,2066388,2073894,2088385,"67,083,000",,,,,,,,,
Caribbean,0.9,1.7,0.6,-4.7,5.1,12.4,9799186,9923085,10057698,10175214,10278887,"8,160,000",,,,,,,,,
Central America,4.3,3.9,3.3,-7.1,11,4.7,1104038,1113994,1124808,1136274,1148133,"100,200",,,,,,,,,
Central Asia and the Caucasus,6.3,3.2,1.9,0.6,9.6,4.6,38825,39969,40574,40895,41608,"1,368,000",,,,,,,,,
East Asia,5.5,5.2,4.4,0.9,6.8,2.9,93419,94677,95843,96762,97625,"11,974,000",,,,,,,,,
Eastern Europe ,3.1,3.6,3.1,-3.1,5.1,-1.5,17997411,17465567,17095669,16945062,17070132,"85,217,000",,,,,,,,,
Europe,2.7,2.3,2,-5.4,5.4,1.9,35979,36558,37116,37667,38194,"6,202,000",,,,,,,,,
Middle East (Region),0.6,1.4,0.5,-3.6,4,5.6,14110971,14561658,15016761,15477727,15946882,"10,400",,,,,,,,,
North Africa,6.2,4,2.9,-1.8,5.3,4.1,2021618425,2036897092,2052513823,2066103849,2078012370,"44,269,000",,,,,,,,,
North America,2.3,2.8,2,-4,5.5,1.8,452263661,454682913,456945557,458942666,460788476,"43,637,000",,,,,,,,,
Pacific Islands ,3.9,0.9,3.1,-6.4,-0.4,5.2,7323162,7509952,7698476,7889095,8082359,"9,272,000",,,,,,,,,
South America,0.8,0.5,0,-6.6,7.3,3.6,68714519,68971313,69209817,69428454,69625581,"67,733,000",,,,,,,,,
South Asia,6.6,6.4,3.8,-4.8,8.1,6.4,8454019,8663575,8880270,9100847,9321023,"336,958,000",,,,,,,,,
Southeast Asia,5.4,5.3,4.7,-3.2,3.1,5,5565283,5662371,5757667,5850902,5942094,"83,300",,,,,,,,,
Sub-Saharan Africa (Region) ,2.9,3.1,2.9,-1.7,4.5,3.4,606271936,612511541,618653508,624698076,630644771,"3,556,000",,,,,,,,,
Western Europe,2.5,1.8,1.6,-6.3,5.6,3.2,1196294,1219289,1243260,1267975,1293120,"35,626,000",,,,,,,,,
Western Hemisphere (Region),2,2.4,1.6,-4.6,6,2.3,359705464,365926929,372133652,378386080,384771769,"315,700",,,,,,,,,
ASEAN-5,5.5,5.4,4.9,-3.4,3.4,5.3,100780,101143,102002,103199,104497,105769,,,,,,,,,
Advanced economies,2.5,2.3,1.7,-4.4,5.2,2.4,1749417067,1771187426,1792883164,1814455018,1835776769,"33,361,000",,,,,,,,,
Emerging and Developing Asia,6.6,6.4,5.2,-0.6,7.2,4.4,995458498,1022530245,1050162810,1078319512,1106957870,"99,818,000",,,,,,,,,
Emerging and Developing Europe,4.1,3.4,2.5,-1.7,6.8,0,1370332,1377563,1384060,1389841,1394969,"3,189,000",,,,,,,,,
Emerging market and developing economies,4.8,4.6,3.6,-1.9,6.6,3.7,11179951,11303942,11433438,11565203,11694721,"32,497,000",,,,,,,,,
Euro area,2.6,1.8,1.6,-6.1,5.2,3.1,78529413,79827868,81116451,82340090,83429607,"18,913,000",,,,,,,,,
European Union,3,2.2,2,-5.6,5.4,3.2,11099,11232,11365,11505,11655,"14,089,000",,,,,,,,,
Latin America and the Caribbean,1.4,1.2,0.2,-7,6.9,3.5,51482638,53049231,54660345,56313444,58005461,"59,018,933",,,,,,,,,
Major advanced economies (G7),2.2,2.1,1.6,-4.8,5.1,2,38225447,39649173,41166588,42729032,44269587,"45,693,021",,,,,,,,,
Middle East and Central Asia,2.6,2.6,1.7,-2.7,4.5,5,45154036,45004673,44831135,44622518,44386203,"47,839,383",,,,,,,,,
Other advanced economies,3.1,2.8,2,-1.7,5.3,2.8,2412687400,2431145930,2449903406,2466337061,2480707519,"2,493,389,038",,,,,,,,,
Sub-Saharan Africa,3,3.3,3.2,-1.6,4.7,3.6,3412013,3424139,3436645,3449290,3461731,"3,472,112",,,,,,,,,
